#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 3/44
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 64x36
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,     2304, 9c70420c10b163916ea18c125c74bef7
0,          1,          1,        1,     2304, 8136a030a5070b0ba35250ea1dd85864
0,          2,          2,        1,     2304, 905d09130fbd178f343657de3bebad75
0,          3,          3,        1,     2304, 53eb8afccc4157dbc18e36578ce39973
0,          7,          7,        1,     2304, dcea1227712cec4d3f08bff15acd6f5f
0,          8,          8,        1,     2304, f2e92c3b0ea9b1ebc24aceca68bd9414
0,          9,          9,        1,     2304, a5c415238bba5b243a5e478f824f8490
0,         10,         10,        1,     2304, fee5eece291e5fe35a402d1d300ff694
0,         11,         11,        1,     2304, eb67e1fcdcf08246f013ecc7f16b2122
0,         12,         12,        1,     2304, 9b114bcaba22b6bb4bf993be3cc97cdd
0,         13,         13,        1,     2304, e138f71576069a2bd4f930a95ae20b01
0,         14,         14,        1,     2304, 7877b4391bf016a0c990a2ee1a80fe61
0,         15,         15,        1,     2304, ec6826649a0b306065db94168152021e
0,         16,         16,        1,     2304, ed21849c924370c508e5ab61c22fe2ee
0,         17,         17,        1,     2304, bf572455c3ce116e338676e2713b916e
0,         18,         18,        1,     2304, 69c51842713437b63d93897700c4cc44
0,         19,         19,        1,     2304, 59afcb5b908720f21841bec7f2996939
0,         20,         20,        1,     2304, cec120b518327abd2a341c04cdbd3864
0,         21,         21,        1,     2304, 23bae3d71da3c8614e6efa0401c8d1b5
0,         22,         22,        1,     2304, d0f9cb3e57460c3b13a25fababa3f456
0,         23,         23,        1,     2304, 4a9a256ff59b7410c1e4d53c2ca3b72f
0,         24,         24,        1,     2304, 5e7a9768518b194b2a8d41f2105ae9be
0,         26,         26,        1,     2304, 65d6e54100752ea9ae9945c920d77ebd
0,         27,         27,        1,     2304, ee85d0da7cee59358b9653aaffae4d91
0,         28,         28,        1,     2304, 7a063d52dc65ce77aadb0ed039df6a04
0,         30,         30,        1,     2304, a31438119e47a0614e302debbdc84c0a
0,         31,         31,        1,     2304, 9e9504662dc85e98fb6c7c3ad27a4cd3
0,         32,         32,        1,     2304, ffcc79d81bcc7ee4a4e776605a90b4dd
0,         33,         33,        1,     2304, 3f0938b6ba75d9de3a09504f1bff5253
0,         34,         34,        1,     2304, 3e50a2cb8cabceedb56ab0140fd46f77
0,         35,         35,        1,     2304, d4f3eddfbd12c5a8e18837529d159671
0,         36,         36,        1,     2304, 2c560ace6ff5be06bcdb4d7610a44a7c
0,         37,         37,        1,     2304, cc6ba741e36c1685421c9025612edeb1
0,         38,         38,        1,     2304, da04277d8f61333bb064d90b0445f2d7
0,         39,         39,        1,     2304, 50ff167dd3b3b8a6c13122232a75c9f1
0,         40,         40,        1,     2304, db91de0b2bc2e18e72d35ab19bf2835f
0,         41,         41,        1,     2304, 581ea781d29a4a19d588c9e510dd3f06
0,         42,         42,        1,     2304, 3a69e1ed627aae65348a7e403e59fdeb
0,         43,         43,        1,     2304, fba2d4dd19ce5f8b1b53c2df772458f0
0,         44,         44,        1,     2304, d648c647cd1b570e3ce3b5b4c1cb36f3
0,         45,         45,        1,     2304, e6c8d5aa7e096d232ad64c4ba765888c
0,         46,         46,        1,     2304, 53e04a98103d4adad1907d307f9d6ae9
0,         47,         47,        1,     2304, 4358e01fff91128ff2d9e92d918b8e92
0,         48,         48,        1,     2304, 8b591a14960d8793e47c4ac77be1e3af
0,         49,         49,        1,     2304, 809c1063e581bfdad041fb946335dd6b
0,         50,         50,        1,     2304, 190d5ed78263436186a40cdc98d9a8b6
0,         51,         51,        1,     2304, 721cb7af90ccdc3b6a47636e8f5602a1
0,         52,         52,        1,     2304, e9f0657d2af766e5cb92feab9699873c
0,         53,         53,        1,     2304, 3f447c45b1ab8361615adb365821cb56
0,         54,         54,        1,     2304, 54daf835c309a15122fc26c753090f3d
0,         55,         55,        1,     2304, b53122d745e3723bcc8c2ef36d273b77
0,         56,         56,        1,     2304, 15271a1b7d2e1e4cc6553ad14c884b25
0,         57,         57,        1,     2304, 8e0883923f6849c6c615adc45ba7c044
0,         58,         58,        1,     2304, 9a754702cfc36b4e848bcc778f3c5a74
0,         59,         59,        1,     2304, 3d38b0f0cc515e159fc6824bceac19d9
0,         60,         60,        1,     2304, 0189ca694a84f4b42545201c0096a3ec
0,         61,         61,        1,     2304, 357f6adca4acc564d2258b6f1064d46b
0,         62,         62,        1,     2304, 3fdd8ee456fd59353444e62d2e9e4c2c
0,         63,         63,        1,     2304, 40f2dc7b06d90047a1b18b1cfa972c14
0,         64,         64,        1,     2304, 666bbbb85b12b1590ce3380ead8f2ab2
0,         65,         65,        1,     2304, 27330681c29398b7bd44d8733006286d
0,         66,         66,        1,     2304, a44acd61fe79eaf7a6a9a009770b2555
0,         67,         67,        1,     2304, 841bcbe03a40641ba00458d7e2c9e49d
0,         68,         68,        1,     2304, 72928e86ed7a580ab68c5a16783a66b8
0,         69,         69,        1,     2304, 6883a9ae1c505b49dde3d24aacc41013
0,         70,         70,        1,     2304, 1e89e625cb78066ad7af9196052e947c
0,         71,         71,        1,     2304, cc4492d1f204751a9b027adc7887354d
0,         72,         72,        1,     2304, 6bdce2ea5c4968a5d607657b431e1a84
0,         73,         73,        1,     2304, 6813fc4635bb3453052b83040cf66d80
0,         74,         74,        1,     2304, 54dc6e8362b9a82d6315f95883a48a26
0,         75,         75,        1,     2304, e01199ffa7d85165eab2486787910526
0,         76,         76,        1,     2304, 098f2b7a827625fe3ba6d94f841535d8
0,         77,         77,        1,     2304, a982fddba3cc0f7785dae344be4ecbb0
0,         78,         78,        1,     2304, b8acba043ddb614cd39f9e280ee83a87
0,         79,         79,        1,     2304, 601da96590ef48ce3a5df4d98ad35ea5
0,         80,         80,        1,     2304, 00cd4b04c235b6b3916c22cccb6aef4a
0,         81,         81,        1,     2304, 3649af1b0009cf74dde0d2e6ec0bd90e
0,         82,         82,        1,     2304, 7eb043e2dd167463999bf6cd550d4375
0,         83,         83,        1,     2304, f07ecf00ea8ba588703040cc0c15ea82
0,         84,         84,        1,     2304, 6c87308f50e3e39baa1f72cd4b0f4036
0,         85,         85,        1,     2304, ac52179b1c49b2ecd56c582cd2d6d976
0,         86,         86,        1,     2304, ac52179b1c49b2ecd56c582cd2d6d976
0,         87,         87,        1,     2304, 0ef22d67b5f2ddb28a64e76a7e090a79
0,         88,         88,        1,     2304, 975f20c22b2830cc5dacacace5c458f5
0,         89,         89,        1,     2304, dc2c94ff4c07b7d3c7db870cd2b6b7b7
0,         90,         90,        1,     2304, 5ecc08d0abecc42c89cb567d8bf9ee40
0,         91,         91,        1,     2304, b1b32cae48dd38a7b246197b4256e7e1
0,         92,         92,        1,     2304, 12d5fc503d9c1b1b44ad40bd7b841b58
0,         93,         93,        1,     2304, bee3b91e2a4c6ff71ea8b5bb65c27f6f
0,         94,         94,        1,     2304, bee3b91e2a4c6ff71ea8b5bb65c27f6f
0,         95,         95,        1,     2304, c4b68601cf76ef8d8aa26d6ad562dd7a
0,         96,         96,        1,     2304, 616c1d0bfc263c9566ef4f7e381d59be
0,         96,         96,        1,     2304, e4c6cef384a4241b8fe5608b8d184082
0,         97,         97,        1,     2304, 3d71de306322024c8beac5d69016702c
0,         99,         99,        1,     2304, 42256c7112e8e3755350e798a1c5c91a
0,         99,         99,        1,     2304, 3a8c6a65175307dd3e374df7df14017d
0,        100,        100,        1,     2304, 9d0ea28923c27e92d96d7c953eb65631
0,        101,        101,        1,     2304, 43fa84e469ca7bc6899083bd6529e311
0,        102,        102,        1,     2304, d7e975a78770eda6176dd7b9755f15cd
0,        103,        103,        1,     2304, a1626f6076459ec663b9eb42722892d2
0,        104,        104,        1,     2304, 3b36b87abf2780e9e42e5d3be7423586
0,        105,        105,        1,     2304, f52b34fca4be37b853d0b365bbe369b3
0,        106,        106,        1,     2304, a74b85bee9fb826b87d42587708ae377
0,        107,        107,        1,     2304, 4be8c2d3255055e6212883b009953a4f
0,        108,        108,        1,     2304, ce78e6e6b5e67a25df059f9feebe1171
0,        109,        109,        1,     2304, 2ca58fd15526d70647898a080f7b5289
0,        110,        110,        1,     2304, 3fa4adee497f38733a5822095d7937de
0,        111,        111,        1,     2304, 0f82dbe7b77b3e25ed995535e75e07d9
0,        112,        112,        1,     2304, 6f10b5caeae71937c386dafba8be9fb0
0,        113,        113,        1,     2304, 7457149ad005ab66a4672e2a3a478033
0,        114,        114,        1,     2304, d2ea236203ae236ac8490444d296570b
0,        115,        115,        1,     2304, 6174fc9c0900f9e0d8f6ae7629bff93b
0,        116,        116,        1,     2304, 91544eae20d19fe90d9d76f18c1175ce
0,        117,        117,        1,     2304, 928bcc64529fe94462b464ffb9a700d0
